TransactionID,Timestamp,Amount,OldBalanceOrigin,NewBalanceOrigin,OldBalanceDestination,NewBalanceDestination,BalanceDeltaOrigin,BalanceDeltaDestination,TransactionType,SenderID,ReceiverID,SenderLocation,SenderCountry,ReceiverLocation,ReceiverCountry,LocationMismatch,PreviousLinkWithReceiver,LinkHistoryCount,SenderPastFraudCount,ReceiverPastFraudCount,SenderAvgTransactionAmount,ReceiverAvgTransactionAmount,AmountDeviationFromSenderAvg,TransactionVelocity24h,AmountAnomalyFlag,BehaviorAnomalyFlag,FraudRiskScore,IsFraud
TXN1000571,02-12-2025 14:55,10493.73,10807.39,313.66,6499.13,16992.86,10493.73,10493.73,TRANSFER,CUST_SEND_148,CUST_RECV_138,Delhi,India,Delhi,India,0,0,0,0,1,11486.23,10644.6,-8.64,2,0,0,0.29,0
TXN1000334,20-11-2025 08:40,20934.66,4063.72,-16870.94,4207.86,25142.52,20934.66,20934.66,TRANSFER,CUST_SEND_33,CUST_RECV_45,Kolkata,Australia,Kolkata,Australia,0,1,86,0,0,16615.34,1776.5,26,5,0,0,0.341,0
TXN2001589,06-12-2025 02:09,27292.89,18463.82,-8829.07,12528.13,39821.02,27292.89,27292.89,TRANSFER,CUST_SEND_82,CUST_RECV_27,Jaipur,India,Lucknow,Canada,1,0,0,0,0,1863.48,19620.62,1364.62,16,1,1,0.665,1
TXN1000357,26-11-2025 11:59,17214.27,27279.25,10064.98,13376.31,30590.58,17214.27,17214.27,TRANSFER,CUST_SEND_150,CUST_RECV_46,Lucknow,UK,Lucknow,UAE,0,1,52,0,1,17656.42,4209.77,-2.5,6,0,0,0.112,0
TXN2001437,28-11-2025 05:11,34398.22,28800.46,-5597.76,16849.23,51247.46,34398.22,34398.22,TRANSFER,CUST_SEND_34,CUST_RECV_1,Bangalore,UK,Bangalore,Singapore,0,0,0,0,1,14418.6,8666.17,138.57,8,1,1,0.688,1
TXN1000588,20-11-2025 18:40,10436.83,38827.67,28390.84,1502.7,11939.53,10436.83,10436.83,PAYMENT,CUST_SEND_48,CUST_RECV_120,Lucknow,Germany,Lucknow,Germany,0,1,5,0,0,9060.22,8797.54,15.19,5,0,0,0.158,0
TXN1000502,09-12-2025 15:44,3187.48,33282.15,30094.67,11031.08,14218.56,3187.48,3187.48,TRANSFER,CUST_SEND_55,CUST_RECV_113,Bangalore,Canada,Bangalore,Canada,0,0,0,1,1,3257.54,4052.95,-2.15,5,0,0,0.202,0
TXN2001230,30-11-2025 03:54,17097.57,42981.94,25884.37,7771.76,24869.32,17097.57,17097.57,CASH_OUT,CUST_SEND_86,CUST_RECV_130,Lucknow,Canada,Ahmedabad,Canada,0,0,0,0,0,9657.48,18658.14,77.04,3,1,1,0.902,1
TXN2001690,06-12-2025 23:54,38552.33,32557.44,-5994.88,13884.96,52437.29,38552.33,38552.33,TRANSFER,CUST_SEND_35,CUST_RECV_22,Pune,Australia,Hyderabad,France,1,0,0,0,0,2545.63,3794.4,1414.45,18,1,1,0.703,1
TXN2001137,02-12-2025 02:08,35993.93,3820.14,-32173.79,9683.68,45677.61,35993.93,35993.93,TRANSFER,CUST_SEND_150,CUST_RECV_82,Delhi,India,Kolkata,France,0,1,23,0,0,17656.42,11119.73,103.86,17,1,1,0.963,1
TXN2001628,20-11-2025 23:42,323.69,5554.1,5230.41,8007.62,8331.31,323.69,323.69,CASH_OUT,CUST_SEND_55,CUST_RECV_45,Pune,Australia,Chennai,Singapore,0,0,0,1,0,3257.54,1776.5,-90.06,19,0,1,0.739,1
TXN2001825,21-11-2025 03:44,446.74,13697.1,13250.36,5783.33,6230.08,446.74,446.74,CASH_OUT,CUST_SEND_101,CUST_RECV_122,Hyderabad,Germany,Lucknow,Australia,1,0,0,0,0,4089.72,3128.74,-89.08,1,0,1,0.979,1
TXN2001145,17-11-2025 05:51,43556.66,3168.23,-40388.43,9435.4,52992.06,43556.66,43556.66,TRANSFER,CUST_SEND_21,CUST_RECV_90,Lucknow,Canada,Bangalore,UK,1,0,0,0,0,11441.05,3275.48,280.71,15,1,1,0.877,1
TXN1000113,29-11-2025 18:36,3064.72,24770.46,21705.74,4924.52,7989.24,3064.72,3064.72,DEBIT,CUST_SEND_45,CUST_RECV_104,Chennai,USA,Lucknow,India,0,1,67,1,0,2586.51,13272.43,18.49,5,0,0,0.347,0
TXN1000521,09-12-2025 21:52,21820.96,11674.4,-10146.57,1345.65,23166.61,21820.96,21820.96,PAYMENT,CUST_SEND_102,CUST_RECV_117,Mumbai,USA,Mumbai,USA,0,1,88,0,0,18307.62,18038.54,19.19,3,0,0,0.061,0
TXN2001805,14-11-2025 02:39,18882.34,26268.92,7386.58,6167.47,25049.81,18882.34,18882.34,TRANSFER,CUST_SEND_72,CUST_RECV_95,Chennai,UAE,Lucknow,Canada,0,0,0,0,0,2402.13,10470.4,686.07,1,1,1,0.67,1
TXN1000153,24-11-2025 13:29,15578.75,32290.04,16711.29,16372.72,31951.47,15578.75,15578.75,DEBIT,CUST_SEND_49,CUST_RECV_58,Delhi,Canada,Delhi,Canada,0,1,35,0,0,18220.73,12930.11,-14.5,6,0,0,0.112,0
TXN2001310,25-11-2025 23:13,35107.65,19741.16,-15366.5,16959.97,52067.63,35107.65,35107.65,CASH_OUT,CUST_SEND_115,CUST_RECV_180,Delhi,India,Pune,UAE,0,0,0,0,1,3857.92,7817.78,810.01,8,1,1,0.961,1
TXN1000146,04-12-2025 11:31,10014.13,15499.13,5485,14607.08,24621.21,10014.13,10014.13,TRANSFER,CUST_SEND_146,CUST_RECV_130,Lucknow,India,Lucknow,India,0,0,0,0,0,10883.11,18658.14,-7.98,4,0,0,0.134,0
TXN2001700,25-11-2025 02:30,25028.19,26026.2,998.01,12342.09,37370.27,25028.19,25028.19,TRANSFER,CUST_SEND_5,CUST_RECV_128,Mumbai,USA,Mumbai,Germany,1,0,0,0,0,2734.45,4246.86,815.29,10,1,1,0.974,1
TXN2001911,26-11-2025 05:13,18579.58,40878.1,22298.52,16305.42,34885.01,18579.58,18579.58,TRANSFER,CUST_SEND_61,CUST_RECV_130,Pune,India,Lucknow,Japan,1,0,0,0,0,8122.54,18658.14,128.74,17,1,1,0.699,1
TXN1000044,20-11-2025 13:37,7356.9,14849.34,7492.44,18610.82,25967.72,7356.9,7356.9,DEBIT,CUST_SEND_11,CUST_RECV_11,Lucknow,Canada,Lucknow,Canada,0,1,55,0,1,9520.46,12208.44,-22.73,2,0,0,0.045,0
TXN1000888,08-12-2025 09:45,10172.11,17156.03,6983.92,8824.39,18996.5,10172.11,10172.11,PAYMENT,CUST_SEND_92,CUST_RECV_63,Delhi,Singapore,Delhi,Singapore,0,1,61,1,0,12089.47,6260.68,-15.86,6,0,0,0.106,0
TXN2001013,26-11-2025 23:43,1774.66,20306.79,18532.14,554.56,2329.22,1774.66,1774.66,CASH_OUT,CUST_SEND_112,CUST_RECV_60,Delhi,Australia,Ahmedabad,France,0,0,0,0,0,8152.8,17597.99,-78.23,2,0,1,0.973,1
TXN1000628,11-12-2025 12:28,10728.96,23932.83,13203.87,12205.61,22934.57,10728.96,10728.96,TRANSFER,CUST_SEND_46,CUST_RECV_84,Kolkata,India,Kolkata,India,0,1,78,0,1,15765.79,6115.62,-31.95,1,0,0,0.134,0
TXN2001281,09-12-2025 03:06,37072.09,22106.14,-14965.95,10427.32,47499.4,37072.09,37072.09,CASH_OUT,CUST_SEND_7,CUST_RECV_112,Jaipur,UAE,Jaipur,Germany,0,0,0,1,0,19051.18,5673.2,94.59,11,1,1,0.883,1
TXN2001956,29-11-2025 04:12,640.44,25899.32,25258.88,10519.52,11159.95,640.44,640.44,TRANSFER,CUST_SEND_10,CUST_RECV_71,Mumbai,UK,Bangalore,UAE,1,0,0,2,0,13004.91,8009.36,-95.08,4,0,1,0.691,1
TXN1000764,04-12-2025 20:15,10929.93,7086.24,-3843.69,18746.12,29676.04,10929.93,10929.93,TRANSFER,CUST_SEND_15,CUST_RECV_109,Delhi,USA,Delhi,USA,0,1,47,0,0,15295.12,5507.31,-28.54,2,0,0,0.026,0
TXN1000802,13-11-2025 15:53,15708.53,14845.2,-863.33,11195.68,26904.21,15708.53,15708.53,TRANSFER,CUST_SEND_28,CUST_RECV_100,Kolkata,Canada,Lucknow,France,0,1,77,0,0,12746.14,9201.53,23.24,2,0,0,0.102,0
TXN1000869,01-12-2025 16:01,1280.24,15358.65,14078.42,9501.72,10781.96,1280.24,1280.24,PAYMENT,CUST_SEND_3,CUST_RECV_3,Chennai,France,Chennai,France,0,1,23,0,0,1205.92,1546.87,6.16,6,0,0,0.293,0
TXN1000127,22-11-2025 18:34,21049.01,47031.31,25982.3,7357.98,28406.99,21049.01,21049.01,PAYMENT,CUST_SEND_128,CUST_RECV_87,Ahmedabad,Australia,Ahmedabad,Australia,0,1,36,0,0,19936.1,7119.5,5.58,4,0,0,0.27,0
TXN2002000,16-11-2025 04:11,43992.21,11622,-32370.21,15793.58,59785.8,43992.21,43992.21,CASH_OUT,CUST_SEND_145,CUST_RECV_47,Mumbai,Canada,Pune,Australia,1,0,0,2,2,15674.05,6293.22,180.67,14,1,1,0.858,1
TXN1000273,27-11-2025 15:49,21818.85,36047.13,14228.28,4987.03,26805.88,21818.85,21818.85,PAYMENT,CUST_SEND_103,CUST_RECV_79,Chennai,UK,Chennai,UK,0,1,11,0,0,16628.21,11110.16,31.22,4,0,0,0.041,0
TXN1000125,07-12-2025 14:33,3152.87,12912.64,9759.77,1538.33,4691.19,3152.87,3152.87,TRANSFER,CUST_SEND_45,CUST_RECV_113,Lucknow,Germany,Lucknow,Germany,0,1,70,1,1,2586.51,4052.95,21.9,1,0,0,0.181,0
TXN2001344,01-12-2025 23:59,37138.76,40036.99,2898.23,13412.03,50550.79,37138.76,37138.76,CASH_OUT,CUST_SEND_107,CUST_RECV_24,Jaipur,Singapore,Jaipur,India,1,0,0,0,0,8946.62,10350.21,315.12,11,1,1,0.706,1
TXN2001418,24-11-2025 02:06,45660.73,46325.19,664.46,6415.71,52076.44,45660.73,45660.73,TRANSFER,CUST_SEND_10,CUST_RECV_118,Ahmedabad,UAE,Bangalore,USA,1,0,0,2,0,13004.91,2524.44,251.1,13,1,1,0.652,1
TXN1000595,29-11-2025 19:18,12193.29,43941.06,31747.77,649.34,12842.63,12193.29,12193.29,PAYMENT,CUST_SEND_125,CUST_RECV_97,Bangalore,India,Bangalore,India,0,1,49,0,0,17429.73,11205.02,-30.04,3,0,0,0.208,0
TXN2001687,22-11-2025 23:53,23448.1,39834.22,16386.12,13295.69,36743.79,23448.1,23448.1,CASH_OUT,CUST_SEND_126,CUST_RECV_5,Delhi,USA,Kolkata,UK,1,0,0,0,0,16445.12,12785.88,42.58,1,1,0,0.705,1
TXN2001091,23-11-2025 02:30,22189.22,38354.21,16164.99,1224.98,23414.2,22189.22,22189.22,CASH_OUT,CUST_SEND_7,CUST_RECV_79,Kolkata,Singapore,Lucknow,Germany,1,1,49,1,0,19051.18,11110.16,16.47,16,1,0,0.832,1
TXN2001465,08-12-2025 02:41,1896.82,18365.75,16468.93,6238.69,8135.51,1896.82,1896.82,TRANSFER,CUST_SEND_14,CUST_RECV_150,Kolkata,France,Pune,Canada,1,0,0,0,2,13777.85,2204.12,-86.23,15,0,1,0.764,1
TXN1000375,24-11-2025 18:56,16472.36,29448.7,12976.34,18956.06,35428.42,16472.36,16472.36,PAYMENT,CUST_SEND_105,CUST_RECV_177,Jaipur,Canada,Ahmedabad,India,0,0,0,1,0,14788.67,16476.92,11.39,6,0,0,0.243,0
TXN1000859,27-11-2025 10:52,16199.05,4480.07,-11718.97,10834.62,27033.67,16199.05,16199.05,TRANSFER,CUST_SEND_46,CUST_RECV_7,Delhi,USA,Delhi,USA,0,1,73,0,0,15765.79,5046.32,2.75,7,0,0,0.229,0
TXN1000490,20-11-2025 13:05,3297.07,43764.97,40467.9,3346.65,6643.73,3297.07,3297.07,PAYMENT,CUST_SEND_25,CUST_RECV_63,Bangalore,Canada,Bangalore,Canada,0,1,97,0,0,3224.27,6260.68,2.26,5,0,0,0.186,0
TXN2001725,19-11-2025 22:41,38082.05,15949.3,-22132.75,8796.61,46878.66,38082.05,38082.05,CASH_OUT,CUST_SEND_85,CUST_RECV_41,Hyderabad,Australia,Pune,France,1,1,9,1,0,17915.01,10005.27,112.57,19,1,1,0.682,1
TXN2001389,06-12-2025 23:53,39277.73,31688.84,-7588.89,12020.33,51298.06,39277.73,39277.73,CASH_OUT,CUST_SEND_118,CUST_RECV_154,Bangalore,Japan,Chennai,Canada,0,0,0,1,0,19428.37,5838.17,102.17,3,1,1,0.985,1
TXN2001673,27-11-2025 02:11,15068.67,40077.7,25009.03,5057.25,20125.92,15068.67,15068.67,TRANSFER,CUST_SEND_35,CUST_RECV_9,Pune,Australia,Kolkata,Australia,1,0,0,0,0,2545.63,1276.35,491.94,14,1,1,0.707,1
TXN2001944,10-12-2025 22:17,871.07,34026.14,33155.07,18528.24,19399.31,871.07,871.07,TRANSFER,CUST_SEND_130,CUST_RECV_175,Pune,UK,Lucknow,UK,1,0,0,1,0,15610.76,4109.46,-94.42,15,0,1,0.859,1
TXN1000552,02-12-2025 20:09,6840.18,27449.55,20609.38,11777.59,18617.76,6840.18,6840.18,TRANSFER,CUST_SEND_11,CUST_RECV_84,Delhi,Canada,Delhi,Canada,0,1,41,0,1,9520.46,6115.62,-28.15,6,0,0,0.237,0
TXN2001548,22-11-2025 04:07,38036.63,10127.98,-27908.65,12763.67,50800.3,38036.63,38036.63,CASH_OUT,CUST_SEND_112,CUST_RECV_125,Jaipur,UAE,Hyderabad,USA,0,0,0,0,0,8152.8,17444.64,366.55,2,1,1,0.941,1
TXN2001701,07-12-2025 04:35,46469.45,19323.11,-27146.33,4892.92,51362.37,46469.45,46469.45,TRANSFER,CUST_SEND_120,CUST_RECV_142,Hyderabad,Australia,Pune,Japan,0,0,0,0,0,16928.25,6483.98,174.51,3,1,1,0.82,1
TXN2001361,01-12-2025 03:25,24499.01,30201.74,5702.74,7240.3,31739.3,24499.01,24499.01,TRANSFER,CUST_SEND_94,CUST_RECV_22,Ahmedabad,Canada,Bangalore,Japan,0,0,0,0,0,19513.5,3794.4,25.55,13,1,0,0.939,1
TXN2001349,11-12-2025 02:05,1320.11,14600.72,13280.61,19711.81,21031.92,1320.11,1320.11,CASH_OUT,CUST_SEND_59,CUST_RECV_71,Delhi,India,Delhi,Germany,1,0,0,0,0,12084.01,8009.36,-89.08,9,0,1,0.989,1
TXN1000417,07-12-2025 15:19,24624.36,5903.24,-18721.12,15659.26,40283.62,24624.36,24624.36,TRANSFER,CUST_SEND_37,CUST_RECV_5,Mumbai,India,Mumbai,India,0,0,0,1,0,19746.15,12785.88,24.7,1,0,0,0.029,0
TXN1000444,01-12-2025 15:07,14946.6,5375.27,-9571.34,9189.72,24136.32,14946.6,14946.6,PAYMENT,CUST_SEND_113,CUST_RECV_107,Delhi,Canada,Delhi,Canada,0,1,21,0,0,16400.51,19743.79,-8.87,2,0,0,0.137,0
TXN1000811,30-11-2025 15:29,2746.3,47879.19,45132.89,3092.42,5838.72,2746.3,2746.3,PAYMENT,CUST_SEND_26,CUST_RECV_90,Kolkata,USA,Kolkata,USA,0,1,72,0,0,3716.84,3275.48,-26.11,1,0,0,0.322,0
TXN2001409,12-11-2025 02:13,16632.22,44050.28,27418.06,9862.19,26494.41,16632.22,16632.22,TRANSFER,CUST_SEND_115,CUST_RECV_14,Chennai,India,Delhi,Canada,1,0,0,0,0,3857.92,18179.02,331.12,14,1,1,0.782,1
TXN2001305,25-11-2025 03:41,1254.12,49808.4,48554.28,5117.05,6371.17,1254.12,1254.12,TRANSFER,CUST_SEND_42,CUST_RECV_138,Delhi,Singapore,Lucknow,France,0,0,0,0,1,19734.02,10644.6,-93.64,3,0,1,0.849,1
TXN1000800,15-11-2025 14:42,5310.6,19347.75,14037.16,6165.82,11476.42,5310.6,5310.6,TRANSFER,CUST_SEND_88,CUST_RECV_75,Lucknow,Germany,Lucknow,Germany,0,1,32,0,0,6270.24,5796.3,-15.3,4,0,0,0.238,0
TXN1000683,29-11-2025 12:41,16799.52,3419.92,-13379.6,10578.38,27377.9,16799.52,16799.52,TRANSFER,CUST_SEND_85,CUST_RECV_96,Ahmedabad,India,Ahmedabad,India,0,1,98,1,1,17915.01,2651.49,-6.23,3,0,0,0.346,0
TXN2001950,23-11-2025 05:57,336.23,42178.45,41842.22,3908.7,4244.93,336.23,336.23,TRANSFER,CUST_SEND_66,CUST_RECV_177,Mumbai,Australia,Lucknow,Australia,0,0,0,0,0,1230.94,16476.92,-72.69,19,0,1,0.834,1
TXN2001430,26-11-2025 23:20,34262.34,20983.15,-13279.19,3093.88,37356.22,34262.34,34262.34,TRANSFER,CUST_SEND_58,CUST_RECV_172,Pune,India,Hyderabad,Canada,0,0,0,1,0,15174.85,3655.68,125.78,4,1,1,0.659,1
TXN1000806,03-12-2025 10:17,11205.48,30440.75,19235.28,11873.13,23078.6,11205.48,11205.48,PAYMENT,CUST_SEND_47,CUST_RECV_43,Bangalore,Singapore,Delhi,Germany,0,1,94,0,0,11609.68,4274.08,-3.48,4,0,0,0.327,0
TXN1000864,03-12-2025 12:25,12571.98,26845.25,14273.27,13701.45,26273.43,12571.98,12571.98,PAYMENT,CUST_SEND_140,CUST_RECV_42,Chennai,USA,Bangalore,Singapore,0,1,96,0,0,12744.44,13683.6,-1.35,1,0,0,0.115,0
TXN2001461,10-12-2025 22:29,1155.07,23153.8,21998.73,19080.69,20235.75,1155.07,1155.07,CASH_OUT,CUST_SEND_23,CUST_RECV_151,Chennai,UK,Lucknow,Germany,0,0,0,0,0,17866.38,19809.24,-93.53,19,0,1,0.663,1
TXN2001177,12-11-2025 05:33,1284.74,29876.44,28591.7,14354.87,15639.61,1284.74,1284.74,CASH_OUT,CUST_SEND_8,CUST_RECV_98,Hyderabad,Singapore,Jaipur,India,1,0,0,0,0,19061.54,12149.98,-93.26,12,0,1,0.799,1
TXN2001220,17-11-2025 05:58,41770.89,1094.62,-40676.28,12940.3,54711.2,41770.89,41770.89,CASH_OUT,CUST_SEND_8,CUST_RECV_158,Hyderabad,UK,Chennai,France,1,0,0,0,1,19061.54,9959.95,119.14,3,1,1,0.9,1
TXN2001288,28-11-2025 22:32,48982.22,8975.74,-40006.48,3502.59,52484.81,48982.22,48982.22,CASH_OUT,CUST_SEND_101,CUST_RECV_15,Pune,Australia,Jaipur,Germany,1,0,0,0,0,4089.72,7616.85,1097.69,17,1,1,0.899,1
